AccountCode,Name,Type,Subtype,IsSubledger,SubledgerType,Active,Description,ParentId,ParentCode,ParentName
1,Assets,asset,,No,,Yes,Resources owned by the business that have economic value,,,
1100,Current Assets,asset,,No,,Yes,Assets expected to be converted to cash or used within one year,4057,1,Assets
1110,Cash,asset,Bank,No,,Yes,Money in bank accounts and cash on hand,4058,1100,Current Assets
1120,Accounts Receivable,asset,Receivable,Yes,accounts_receivable,Yes,Money owed to the business by customers,4058,1100,Current Assets
1130,Inventory,asset,Inventory,No,,Yes,Goods available for sale or materials used in production,4058,1100,Current Assets
1140,Prepaid Expenses,asset,Other Current Asset,No,,Yes,Expenses paid in advance such as insurance or rent,4058,1100,Current Assets
1150,Short-term Investments,asset,Investment,No,,Yes,Investments expected to be converted to cash within one year,4058,1100,Current Assets
1400,Fixed Assets,asset,,No,,Yes,Long-term assets used in business operations,4057,1,Assets
1410,Equipment,asset,Fixed Asset,No,,Yes,Machinery and equipment used in operations,4064,1400,Fixed Assets
1420,Furniture and Fixtures,asset,Fixed Asset,No,,Yes,Office furniture and permanent fixtures,4064,1400,Fixed Assets
1430,Buildings,asset,Fixed Asset,No,,Yes,Structures owned by the business,4064,1400,Fixed Assets
1440,Land,asset,Fixed Asset,No,,Yes,Real estate owned by the business,4064,1400,Fixed Assets
1450,Vehicles,asset,Fixed Asset,No,,Yes,"Cars, trucks, and other transportation equipment",4064,1400,Fixed Assets
1490,Accumulated Depreciation,asset,Contra Asset,No,,Yes,Total depreciation taken against fixed assets,4064,1400,Fixed Assets
1800,Other Assets,asset,,No,,Yes,Assets not classified as current or fixed,4057,1,Assets
1810,Intangible Assets,asset,Other Asset,No,,Yes,"Non-physical assets like patents, trademarks, and goodwill",4071,1800,Other Assets
1820,Long-term Investments,asset,Investment,No,,Yes,Investments held for more than one year,4071,1800,Other Assets
2,Liabilities,liability,,No,,Yes,Obligations and debts owed by the business,,,
2100,Current Liabilities,liability,,No,,Yes,Debts due within one year,4074,2,Liabilities
2110,Accounts Payable,liability,Payable,Yes,accounts_payable,Yes,Money owed to suppliers for goods or services purchased on credit,4075,2100,Current Liabilities
2120,Accrued Expenses,liability,Other Current Liability,No,,Yes,Expenses incurred but not yet paid,4075,2100,Current Liabilities
2130,Payroll Liabilities,liability,Payroll,No,,Yes,Amounts owed to employees and tax authorities for payroll,4075,2100,Current Liabilities
2140,Short-term Loans,liability,Loan,No,,Yes,Loans due within one year,4075,2100,Current Liabilities
2150,Current Portion of Long-term Debt,liability,Loan,No,,Yes,Principal due within one year on long-term debt,4075,2100,Current Liabilities
